Date,Garanti,TurkTelekom,Aselsan,Ulker,BIM
04/01/2016,6.66,5.13,8.51,17.52,48.69
05/01/2016,6.63,5.15,8.62,18.20,48.88
06/01/2016,6.77,5.09,8.68,17.96,48.26
07/01/2016,6.80,5.05,8.70,17.99,48.59
08/01/2016,6.68,4.96,8.84,17.58,47.62
11/01/2016,6.77,5.00,9.02,17.48,47.16
12/01/2016,6.80,5.14,9.32,17.57,47.83
13/01/2016,6.84,5.27,9.19,17.64,48.16
14/01/2016,6.87,5.16,9.06,17.39,48.26
15/01/2016,6.88,5.06,9.00,17.13,47.87
18/01/2016,6.85,4.98,8.91,17.25,47.41
19/01/2016,6.84,4.95,9.11,17.31,47.10
20/01/2016,6.69,4.80,8.91,16.82,46.51
21/01/2016,6.61,4.82,8.64,16.77,45.59
22/01/2016,6.73,4.95,8.88,17.46,47.21
25/01/2016,6.78,4.93,9.31,17.26,46.72
26/01/2016,7.07,4.98,9.22,17.56,46.66
27/01/2016,6.96,5.04,9.11,17.86,47.77
28/01/2016,7.02,5.08,8.98,17.81,48.21
29/01/2016,7.08,5.19,8.99,18.42,47.89
01/02/2016,7.06,5.26,8.93,18.37,48.16
02/02/2016,6.89,5.15,8.97,18.07,49.31
03/02/2016,6.98,5.20,8.99,18.60,50.13
04/02/2016,7.10,5.47,8.89,18.88,49.70
05/02/2016,7.06,5.49,8.89,19.04,49.36
08/02/2016,6.72,5.29,8.71,18.79,48.45
09/02/2016,6.71,5.22,8.63,18.42,47.87
10/02/2016,6.76,5.31,8.70,18.06,47.50
11/02/2016,6.72,5.25,8.59,17.54,46.74
12/02/2016,6.67,5.24,8.51,17.47,47.64
15/02/2016,6.65,5.30,8.40,17.69,47.73
16/02/2016,6.67,5.25,8.32,18.07,47.25
17/02/2016,6.86,5.40,8.55,18.05,48.40
18/02/2016,6.87,5.43,8.60,17.62,50.08
19/02/2016,6.79,5.40,8.55,17.59,51.61
22/02/2016,7.08,5.52,8.66,18.06,52.52
23/02/2016,7.16,5.49,8.74,17.81,52.76
24/02/2016,6.95,5.49,8.73,17.67,52.52
25/02/2016,7.02,5.59,8.80,17.62,53.58
26/02/2016,7.00,5.50,8.72,17.39,51.90
29/02/2016,7.02,5.54,8.76,17.61,52.48
01/03/2016,7.00,5.61,8.94,17.63,52.48
02/03/2016,7.13,5.61,9.07,18.08,52.72
03/03/2016,7.12,5.57,9.04,18.97,52.14
04/03/2016,7.13,5.61,9.00,19.50,51.76
07/03/2016,7.14,5.67,9.00,19.90,51.57
08/03/2016,7.15,5.73,8.52,19.84,50.80
09/03/2016,7.29,5.77,8.52,20.02,51.76
10/03/2016,7.26,5.94,8.51,19.48,54.87
11/03/2016,7.34,5.95,8.55,19.33,55.06
14/03/2016,7.33,5.91,8.54,19.55,55.74
15/03/2016,7.20,5.95,8.52,19.53,55.97
16/03/2016,7.21,6.02,8.55,19.59,55.97
17/03/2016,7.38,6.10,8.63,19.80,57.13
18/03/2016,7.50,6.20,8.80,20.48,57.99
21/03/2016,7.49,6.31,8.97,21.07,58.42
22/03/2016,7.38,6.41,8.90,20.97,58.75
23/03/2016,7.41,6.39,8.62,20.93,57.94
24/03/2016,7.61,6.26,8.88,20.76,58.04
25/03/2016,7.59,6.43,8.97,20.95,57.27
28/03/2016,7.61,6.41,8.99,21.09,57.41
29/03/2016,7.53,6.34,8.99,20.60,58.42
30/03/2016,7.73,6.42,9.05,20.74,59.71
31/03/2016,7.86,6.42,9.09,20.41,58.51
01/04/2016,7.69,6.43,9.08,20.19,58.18
04/04/2016,7.99,6.51,9.26,20.27,59.23
05/04/2016,7.91,6.38,9.30,19.97,58.56
06/04/2016,7.74,6.32,9.34,20.09,57.60
07/04/2016,7.68,6.20,9.37,20.15,57.41
08/04/2016,7.82,6.40,9.50,20.58,58.99
11/04/2016,7.91,6.41,9.55,20.68,59.67
12/04/2016,7.79,6.42,9.86,20.28,58.61
13/04/2016,7.95,6.50,10.14,20.64,59.76
14/04/2016,7.95,6.42,9.99,20.44,60.34
15/04/2016,8.11,6.57,9.99,20.26,60.48
18/04/2016,8.33,6.57,9.90,20.07,59.76
19/04/2016,8.40,6.73,9.93,20.54,59.62
20/04/2016,8.33,6.73,9.93,20.32,59.23
21/04/2016,8.25,6.35,9.86,21.02,59.04
22/04/2016,8.06,6.36,9.90,21.57,60.00
25/04/2016,8.05,6.24,9.87,21.77,59.71
26/04/2016,8.25,6.39,9.87,21.63,59.19
27/04/2016,8.25,6.28,10.00,21.59,58.90
28/04/2016,8.35,6.44,9.97,21.77,58.47
29/04/2016,8.35,6.50,9.92,22.05,59.04
02/05/2016,8.22,6.31,9.83,21.17,57.84
03/05/2016,7.89,6.16,9.70,21.17,55.26
04/05/2016,7.68,6.04,9.44,20.98,53.58
05/05/2016,7.36,5.94,9.36,21.06,54.73
